"M","H","L","S","W"
47,158,318,345,68
52,148,312,290,56
27,124,265,167,46
13,104,222,67,38
31,143,274,238,51
14,99,216,68,35
15,109,217,75,34
4,96,202,54,32
23,119,272,128,44
32,123,273,150,49
30,135,260,117,48
26,133,276,190,47
24,126,270,160,50
31,130,280,212,52
31,134,262,208,50
42,120,312,235,61
9,94,220,52,34
13,102,212,74,32
7,85,196,42,28
13,104,226,69,38
50,134,284,268,61
39,137,320,323,60
47,140,331,359,60
40,126,276,167,46
5,92,186,33,30
12,98,213,51,35
26,130,291,170,47
32,137,298,224,54
40,140,287,238,55
16,106,230,68,40
33,135,293,208,57
28,135,298,167,48
28,134,290,187,47
42,135,282,191,52
15,104,221,58,37
27,135,287,180,54
33,129,228,188,46
14,107,210,65,33
29,131,308,299,58
26,124,265,159,48
25,124,270,145,44
9,99,208,54,33
18,123,277,129,45
23,110,241,104,39
13,105,219,66,38
6,87,170,24,27
6,75,150,19,21
1,65,132,10,20
8,86,175,36,30
5,69,150,18,22
6,79,162,20,25
22,124,252,133,47
24,131,275,179,48
13,107,224,69,36
11,100,211,59,33
18,126,254,120,46
17,114,234,72,37
15,108,221,74,37
7,80,167,27,27
14,106,220,52,36
14,118,227,76,35
8,83,177,25,25
18,112,230,125,47
24,132,288,138,46
29,127,275,191,54
21,120,273,148,42
17,110,246,90,37
17,115,250,120,43
34,131,290,203,48
16,111,226,64,35
22,121,269,124,45
24,121,267,153,48
19,123,263,151,48
13,104,217,68,36
10,93,188,51,33
5,76,152,19,25
15,112,227,88,38
12,110,216,53,25
12,112,242,61,45
24,123,260,133,44
15,101,196,68,35
16,105,220,64,36
